act,frame,error
walking,0,0.0
walking,1,0.05782812
walking,2,0.08435013
walking,3,0.039257653
walking,4,0.076390535
walking,5,0.06603819
walking,6,0.07652617
walking,7,0.09233465
walking,8,0.06786257
walking,9,0.077025354
walking,10,0.06275822
walking,11,0.4721469
walking,12,0.85104394
walking,13,1.2193264
walking,14,1.5073352
walking,15,1.7049977
walking,16,1.8219582
walking,17,1.9495283
walking,18,2.073664
walking,19,2.21345
walking,20,2.3667438
walking,21,2.4569395
walking,22,2.5629938
walking,23,2.6416519
walking,24,2.5927355
walking,25,2.601114
walking,26,2.5779502
walking,27,2.6311374
walking,28,2.6463242
walking,29,2.6338737
walking,30,2.579151
walking,31,2.6051524
walking,32,2.583748
walking,33,2.5296776
walking,34,2.4942634
walking,35,2.5597932
walking,36,2.6044686
walking,37,2.6027393
walking,38,2.5316474
walking,39,2.4890616
walking,40,2.450551
walking,41,2.401607
walking,42,2.3515263
walking,43,2.3212917
walking,44,2.3081
walking,45,2.3116262
walking,46,2.3143358
walking,47,2.6592944
walking,48,2.6946313
walking,49,2.7266543
walking,50,2.8164175
walking,51,2.9418364
walking,52,3.0870252
walking,53,2.8983226
walking,54,3.004218
walking,55,3.0835392
walking,56,3.1301272
walking,57,3.4330432
walking,58,3.4526868
walking,59,3.415299
walking,60,3.4064481
walking,61,3.3881652
walking,62,3.3765354
walking,63,3.3607342
walking,64,3.3712037
walking,65,3.3134282
walking,66,3.3460839
walking,67,3.3489764
walking,68,3.3125045
walking,69,3.3236825
walking,70,3.3727028
walking,71,3.4418797
walking,72,3.513858
walking,73,3.571037
walking,74,3.5424862
walking,75,3.5017767
walking,76,3.4763036
walking,77,3.489819
walking,78,3.435626
walking,79,3.0978003
walking,80,3.1152582
walking,81,3.1542103
walking,82,3.137249
walking,83,3.0830238
walking,84,3.0619295
walking,85,3.0715427
walking,86,3.1451385
walking,87,3.168519
walking,88,3.198381
walking,89,3.277941
walking,90,3.4312766
walking,91,3.4851387
walking,92,3.5334425
walking,93,3.5896628
walking,94,3.6312792
walking,95,3.709715
walking,96,3.6990635
walking,97,3.6698964
walking,98,3.6428943
walking,99,3.6491842
act,frame,error
eating,0,0.0
eating,1,0.055912275
eating,2,0.07688207
eating,3,0.043955978
eating,4,0.065278925
eating,5,0.061980568
eating,6,0.07372049
eating,7,0.08859857
eating,8,0.061440658
eating,9,0.06610452
eating,10,0.07149133
eating,11,0.38989845
eating,12,0.7219593
eating,13,0.9875451
eating,14,1.3115925
eating,15,1.5365409
eating,16,1.7160918
eating,17,1.8787205
eating,18,2.0062084
eating,19,2.1935294
eating,20,2.433513
eating,21,2.6593623
eating,22,2.7598572
eating,23,2.8118417
eating,24,2.863518
eating,25,2.959176
eating,26,2.9906526
eating,27,2.9855313
eating,28,2.9833393
eating,29,3.0337584
eating,30,3.1119876
eating,31,3.2364886
eating,32,3.3913937
eating,33,3.524079
eating,34,3.595025
eating,35,3.624778
eating,36,3.630147
eating,37,3.6382535
eating,38,3.6587374
eating,39,3.665903
eating,40,3.7848735
eating,41,3.8727736
eating,42,3.9880917
eating,43,4.089527
eating,44,4.133444
eating,45,4.089526
eating,46,4.0151067
eating,47,3.8525834
eating,48,3.7581387
eating,49,3.716957
eating,50,3.7769797
eating,51,3.9325643
eating,52,4.086452
eating,53,4.1745863
eating,54,4.1614494
eating,55,4.159715
eating,56,4.1553435
eating,57,4.14762
eating,58,4.175998
eating,59,4.224143
eating,60,4.3030157
eating,61,4.3574977
eating,62,4.380565
eating,63,4.4020443
eating,64,4.4136767
eating,65,4.385703
eating,66,4.3954387
eating,67,4.441096
eating,68,4.5022383
eating,69,4.5886774
