act,frame,error
walking,0,0.0
walking,1,0.0053531434
walking,2,0.008571061
walking,3,0.0049526086
walking,4,0.0035760081
walking,5,0.00509857
walking,6,0.003746575
walking,7,0.0076007694
walking,8,0.0043836646
walking,9,0.0041935504
walking,10,0.00503436
walking,11,0.61545193
walking,12,1.0589362
walking,13,1.4141933
walking,14,1.6708637
walking,15,1.8642738
walking,16,2.042514
walking,17,2.242738
walking,18,2.4117346
walking,19,2.622975
walking,20,2.7607899
walking,21,0.6145036
walking,22,1.1033595
walking,23,1.5571008
walking,24,1.9124541
walking,25,2.1828096
walking,26,2.412972
walking,27,2.624852
walking,28,2.7662823
walking,29,2.9372468
walking,30,3.0227025
walking,31,0.47841746
walking,32,0.8791421
walking,33,1.2879026
walking,34,1.6302651
walking,35,1.9076248
walking,36,2.1440413
walking,37,2.3505383
walking,38,2.4774911
walking,39,2.6175725
walking,40,2.6805968
walking,41,0.41836897
walking,42,0.75235045
walking,43,1.0731137
walking,44,1.3432443
walking,45,1.5771586
walking,46,1.7879863
walking,47,1.9811846
walking,48,2.1040516
walking,49,2.2262
act,frame,error
eating,0,0.0
eating,1,0.004410977
eating,2,0.0071267127
eating,3,0.004269663
eating,4,0.0034465948
eating,5,0.0035036653
eating,6,0.0032487058
eating,7,0.0060044164
eating,8,0.0038746737
eating,9,0.004132584
eating,10,0.004242872
eating,11,0.52014
eating,12,0.92531633
eating,13,1.2663395
eating,14,1.4947062
eating,15,1.6190976
eating,16,1.6753956
eating,17,1.7191031
eating,18,1.7516552
eating,19,1.8304262
eating,20,1.908264
eating,21,0.4741701
eating,22,0.80326426
eating,23,1.0746249
eating,24,1.2960165
eating,25,1.499509
eating,26,1.7034078
eating,27,1.917571
eating,28,2.0772333
eating,29,2.2375505
eating,30,2.3161793
eating,31,0.46918562
eating,32,0.8569217
eating,33,1.2447983
eating,34,1.549962
eating,35,1.7867709
eating,36,1.9891107
eating,37,2.1755395
eating,38,2.28318
eating,39,2.3807786
eating,40,2.4086182
eating,41,0.5016446
eating,42,0.9725575
eating,43,1.5025136
eating,44,1.9594097
eating,45,2.328393
eating,46,2.6193447
eating,47,2.83972
eating,48,2.9168508
eating,49,2.96004
act,frame,error
smoking,0,0.0
smoking,1,0.005312836
smoking,2,0.0058857827
smoking,3,0.003681659
smoking,4,0.0029993765
smoking,5,0.003361038
smoking,6,0.0028119024
smoking,7,0.0057225153
smoking,8,0.005403397
smoking,9,0.0045376937
smoking,10,0.0036686023
smoking,11,0.36524266
smoking,12,0.6492377
smoking,13,0.92149717
smoking,14,1.1325138
smoking,15,1.2917495
smoking,16,1.4164929
smoking,17,1.525479
smoking,18,1.5776156
smoking,19,1.6095799
smoking,20,1.6068982
smoking,21,0.32190654
smoking,22,0.58557886
smoking,23,0.8307406
smoking,24,0.9993749
smoking,25,1.1056771
smoking,26,1.1789311
smoking,27,1.2338023
smoking,28,1.2547846
smoking,29,1.2808368
smoking,30,1.2930423
smoking,31,0.44035366
smoking,32,0.7977021
smoking,33,1.1414142
smoking,34,1.401969
smoking,35,1.5860641
smoking,36,1.7133976
smoking,37,1.8127712
smoking,38,1.8407336
smoking,39,1.8479353
smoking,40,1.822552
smoking,41,0.37180415
smoking,42,0.69721067
smoking,43,1.0355409
smoking,44,1.2989985
smoking,45,1.4979478
smoking,46,1.664175
smoking,47,1.8068117
smoking,48,1.8791648
smoking,49,1.9425027
act,frame,error
discussion,0,0.0
discussion,1,0.005106184
discussion,2,0.0072916755
discussion,3,0.004031654
discussion,4,0.003564775
discussion,5,0.0047668433
discussion,6,0.00315635
discussion,7,0.0064987154
discussion,8,0.0046778205
discussion,9,0.004455251
discussion,10,0.004118507
discussion,11,0.46913108
discussion,12,0.82480115
discussion,13,1.1358993
discussion,14,1.3590511
discussion,15,1.5183008
discussion,16,1.6283395
discussion,17,1.7247244
discussion,18,1.7667278
discussion,19,1.79842
discussion,20,1.793023
discussion,21,0.6747336
discussion,22,1.2031608
discussion,23,1.6585613
discussion,24,1.947093
discussion,25,2.1004708
discussion,26,2.1676588
discussion,27,2.2103016
discussion,28,2.1916528
discussion,29,2.1771376
discussion,30,2.1431477
discussion,31,0.576262
discussion,32,1.0437682
discussion,33,1.4843353
discussion,34,1.7937788
discussion,35,1.9928793
discussion,36,2.1264424
discussion,37,2.231743
discussion,38,2.2617497
discussion,39,2.2971125
discussion,40,2.2963815
discussion,41,0.5421873
discussion,42,0.96730286
discussion,43,1.3526777
discussion,44,1.6216303
discussion,45,1.7994477
discussion,46,1.9183056
discussion,47,2.0124235
discussion,48,2.038687
discussion,49,2.0679505
act,frame,error
directions,0,0.0
directions,1,0.005138845
directions,2,0.007071472
directions,3,0.004112901
directions,4,0.003280566
directions,5,0.0048173666
directions,6,0.0032348083
directions,7,0.007249982
directions,8,0.0043570665
directions,9,0.003831226
directions,10,0.0037776963
directions,11,0.5588303
directions,12,0.9967516
directions,13,1.3860872
directions,14,1.6494529
directions,15,1.8103461
directions,16,1.907961
directions,17,1.9926353
directions,18,2.0149753
directions,19,2.0307372
directions,20,2.0261095
directions,21,0.5139656
directions,22,0.93271536
directions,23,1.3285186
directions,24,1.6103499
directions,25,1.7973133
directions,26,1.9276737
directions,27,2.0312753
directions,28,2.064075
directions,29,2.0977173
directions,30,2.0882027
directions,31,0.5033019
directions,32,0.89744216
directions,33,1.2665485
directions,34,1.546553
directions,35,1.7635996
directions,36,1.9454602
directions,37,2.1074038
directions,38,2.1902957
directions,39,2.2663362
directions,40,2.2745748
directions,41,0.39558247
directions,42,0.6777249
directions,43,0.9016306
directions,44,1.0389448
directions,45,1.1171817
directions,46,1.1681995
directions,47,1.2145295
directions,48,1.2313838
directions,49,1.2630186
act,frame,error
greeting,0,0.0
greeting,1,0.0061217137
greeting,2,0.008086806
greeting,3,0.0045418637
greeting,4,0.0037744662
greeting,5,0.005196705
greeting,6,0.0033091793
greeting,7,0.007647337
greeting,8,0.0059136087
greeting,9,0.0040161824
greeting,10,0.0044758557
greeting,11,0.64963776
greeting,12,1.1328323
greeting,13,1.5336819
greeting,14,1.7911161
greeting,15,1.9395382
greeting,16,2.033696
greeting,17,2.1291986
greeting,18,2.1735713
greeting,19,2.2193532
greeting,20,2.2270525
greeting,21,0.61725193
greeting,22,1.0924925
greeting,23,1.5008032
greeting,24,1.7646239
