act,frame,error
walking,0,0.0
walking,1,0.011638124
walking,2,0.012438157
walking,3,0.016103268
walking,4,0.009407962
walking,5,0.011910292
walking,6,0.008208377
walking,7,0.009083377
walking,8,0.014421069
walking,9,0.020099798
walking,10,0.01132265
walking,11,0.01009138
walking,12,0.010632285
walking,13,0.011968097
walking,14,0.018768692
walking,15,0.012688271
walking,16,0.0093241
walking,17,0.008774831
walking,18,0.017692676
walking,19,0.014061355
walking,20,0.0124478275
walking,21,0.014834412
walking,22,0.016186768
walking,23,0.014937633
walking,24,0.016460782
walking,25,0.014203977
walking,26,0.54113805
walking,27,0.94218045
walking,28,1.2252634
walking,29,1.4129342
walking,30,1.5378866
walking,31,1.6628386
walking,32,1.7710918
walking,33,1.8807396
walking,34,1.999167
walking,35,2.0882022
walking,36,2.1217825
walking,37,2.1526248
walking,38,2.1199534
walking,39,2.1300654
walking,40,2.063505
walking,41,2.0082178
walking,42,1.9655567
walking,43,1.9269058
walking,44,1.8990362
walking,45,1.874992
walking,46,1.8262333
walking,47,1.7851926
walking,48,1.7560412
walking,49,1.7051672
act,frame,error
eating,0,0.0
eating,1,0.009070891
eating,2,0.010255492
eating,3,0.011848347
eating,4,0.011047026
eating,5,0.011013277
eating,6,0.008346982
eating,7,0.0076463404
eating,8,0.014807211
eating,9,0.016626077
eating,10,0.013170309
eating,11,0.012586369
eating,12,0.010552036
eating,13,0.009886078
eating,14,0.016608827
eating,15,0.011806849
eating,16,0.008197838
eating,17,0.0078773135
eating,18,0.016596286
eating,19,0.010962793
eating,20,0.011575265
eating,21,0.009942116
eating,22,0.013601055
eating,23,0.013038492
eating,24,0.015308835
eating,25,0.010525596
eating,26,0.47689876
eating,27,0.86168766
eating,28,1.1568348
eating,29,1.3649337
eating,30,1.5065298
eating,31,1.5991993
eating,32,1.6578054
eating,33,1.7211015
eating,34,1.8065692
eating,35,1.8900558
eating,36,1.9573411
eating,37,1.9964427
eating,38,1.9883728
eating,39,1.9981184
eating,40,1.9535793
eating,41,1.9296782
eating,42,1.9184868
eating,43,1.926296
eating,44,1.9428521
eating,45,1.9708303
eating,46,1.97281
eating,47,1.9517244
eating,48,1.9306531
eating,49,1.8810254
act,frame,error
smoking,0,0.0
smoking,1,0.009933344
smoking,2,0.01027186
smoking,3,0.007911264
smoking,4,0.011545789
smoking,5,0.008722754
smoking,6,0.0068815104
smoking,7,0.007100481
smoking,8,0.012117474
smoking,9,0.010574663
smoking,10,0.010091579
smoking,11,0.013545174
smoking,12,0.007325446
smoking,13,0.007979884
smoking,14,0.007426474
smoking,15,0.009861083
smoking,16,0.007702124
smoking,17,0.007481733
smoking,18,0.010244459
smoking,19,0.009672798
smoking,20,0.00947106
smoking,21,0.009182899
smoking,22,0.011915963
smoking,23,0.013743855
smoking,24,0.011645132
smoking,25,0.0084953355
smoking,26,0.3428056
smoking,27,0.6355879
smoking,28,0.8769547
smoking,29,1.0876919
smoking,30,1.2648748
smoking,31,1.4121038
smoking,32,1.504461
smoking,33,1.5625391
smoking,34,1.6143582
smoking,35,1.651588
smoking,36,1.6891559
smoking,37,1.7212745
smoking,38,1.7532736
smoking,39,1.8245109
smoking,40,1.8588761
smoking,41,1.8940585
smoking,42,1.9257696
smoking,43,1.945326
smoking,44,1.9582928
smoking,45,1.9926609
smoking,46,2.025771
smoking,47,2.066515
smoking,48,2.097586
smoking,49,2.0946066
act,frame,error
discussion,0,0.0
discussion,1,0.012168791
discussion,2,0.008630598
discussion,3,0.007899895
discussion,4,0.009694385
discussion,5,0.009218414
discussion,6,0.0064561707
discussion,7,0.0077678035
discussion,8,0.012374761
discussion,9,0.010786677
discussion,10,0.011483977
discussion,11,0.010777355
discussion,12,0.00825957
discussion,13,0.008484479
discussion,14,0.0080612665
discussion,15,0.010257135
discussion,16,0.007836402
discussion,17,0.0072163083
discussion,18,0.010207316
discussion,19,0.008235611
discussion,20,0.010597284
discussion,21,0.010131638
discussion,22,0.0093258815
discussion,23,0.012665973
discussion,24,0.011958668
discussion,25,0.009295013
discussion,26,0.38198802
discussion,27,0.68478596
discussion,28,0.9229701
discussion,29,1.1063323
discussion,30,1.2506877
discussion,31,1.3685772
discussion,32,1.4372915
discussion,33,1.4757205
discussion,34,1.5092387
discussion,35,1.5241586
discussion,36,1.5369419
discussion,37,1.5600204
discussion,38,1.5664909
discussion,39,1.6256564
discussion,40,1.6404992
discussion,41,1.6583006
discussion,42,1.6777989
discussion,43,1.6864047
discussion,44,1.6868563
discussion,45,1.7157098
discussion,46,1.7413511
discussion,47,1.7795018
discussion,48,1.8081242
discussion,49,1.8221785
act,frame,error
directions,0,0.0
directions,1,0.010586471
directions,2,0.008334533
directions,3,0.009500836
directions,4,0.009554392
directions,5,0.009380912
directions,6,0.006904571
directions,7,0.0071248594
directions,8,0.010523458
directions,9,0.009780099
directions,10,0.009700476
directions,11,0.009364003
directions,12,0.0068739513
directions,13,0.009119207
directions,14,0.006894186
directions,15,0.009313711
directions,16,0.006561801
directions,17,0.008422994
directions,18,0.009457488
directions,19,0.008244075
directions,20,0.009184409
directions,21,0.012361533
directions,22,0.007945209
directions,23,0.012303511
directions,24,0.011282413
directions,25,0.00839519
directions,26,0.40493307
directions,27,0.725881
directions,28,0.955527
directions,29,1.1249864
directions,30,1.2401998
directions,31,1.3363916
directions,32,1.3786789
directions,33,1.3956736
directions,34,1.4044582
directions,35,1.4043452
directions,36,1.4030095
directions,37,1.4031215
directions,38,1.4040846
directions,39,1.4498248
directions,40,1.4659218
directions,41,1.4922019
directions,42,1.5237186
directions,43,1.5423192
directions,44,1.5591903
directions,45,1.5961523
directions,46,1.629173
directions,47,1.6762877
directions,48,1.7056503
directions,49,1.7245852
act,frame,error
greeting,0,0.0
greeting,1,0.010960541
greeting,2,0.0106104445
greeting,3,0.010220584
greeting,4,0.009991625
greeting,5,0.009448427
greeting,6,0.0071937954
greeting,7,0.0084292935
greeting,8,0.011668904
greeting,9,0.013117405
greeting,10,0.011494005
greeting,11,0.011385176
greeting,12,0.0067954846
greeting,13,0.007684826
greeting,14,0.010256942
greeting,15,0.010254466
greeting,16,0.008198137
greeting,17,0.007924223
greeting,18,0.0102428
greeting,19,0.009195193
greeting,20,0.010964527
greeting,21,0.011355037
greeting,22,0.009024627
greeting,23,0.013238773
greeting,24,0.013511998
greeting,25,0.008859035
greeting,26,0.4646889
greeting,27,0.83201754
greeting,28,1.1011578
greeting,29,1.3108084
greeting,30,1.4771925
greeting,31,1.6171215
greeting,32,1.7055277
greeting,33,1.768194
greeting,34,1.8137903
greeting,35,1.833761
greeting,36,1.8412517
greeting,37,1.8473518
greeting,38,1.8392012
greeting,39,1.8809972
greeting,40,1.8792766
greeting,41,1.8816736
greeting,42,1.888471
greeting,43,1.8791375
greeting,44,1.8689761
greeting,45,1.8866397
greeting,46,1.9044901
greeting,47,1.9385736
greeting,48,1.9660258
greeting,49,1.9769384
act,frame,error
phoning,0,0.0
phoning,1,0.011450178
phoning,2,0.011914148
phoning,3,0.011472974
phoning,4,0.012919728
phoning,5,0.010846277
phoning,6,0.0072780657
phoning,7,0.009186833
phoning,8,0.016497668
phoning,9,0.016060038
phoning,10,0.014164712
phoning,11,0.014612978
phoning,12,0.008628293
phoning,13,0.009672599
phoning,14,0.013140602
phoning,15,0.013672603
phoning,16,0.0084256325
phoning,17,0.009010948
phoning,18,0.0151221985
phoning,19,0.013169755
phoning,20,0.013367885
phoning,21,0.012752323
phoning,22,0.01480987
phoning,23,0.016606543
phoning,24,0.016514303
phoning,25,0.0105108945
phoning,26,0.5000271
phoning,27,0.90637654
phoning,28,1.2357053
phoning,29,1.5042785
phoning,30,1.7186186
phoning,31,1.9042702
phoning,32,2.0382502
phoning,33,2.1414368
phoning,34,2.2379773
phoning,35,2.3043005
phoning,36,2.343268
phoning,37,2.3628633
phoning,38,2.3508315
phoning,39,2.3871377
phoning,40,2.3767416
phoning,41,2.3851082
phoning,42,2.4008012
phoning,43,2.413499
phoning,44,2.4159753
phoning,45,2.439164
phoning,46,2.4417896
phoning,47,2.4428303
phoning,48,2.4473786
phoning,49,2.4198356
act,frame,error
posing,0,0.0
posing,1,0.017711895
posing,2,0.013643873
posing,3,0.007138262
posing,4,0.015039164
posing,5,0.014886417
posing,6,0.010962023
posing,7,0.007944536
posing,8,0.016923847
posing,9,0.0115347905
posing,10,0.01506143
posing,11,0.019312648
posing,12,0.007938279
posing,13,0.01116939
posing,14,0.0074285627
posing,15,0.01782383
posing,16,0.008315652
posing,17,0.009113583
posing,18,0.013294007
posing,19,0.008937561
posing,20,0.012403689
posing,21,0.0101438165
posing,22,0.011000222
posing,23,0.01487437
posing,24,0.019967312
posing,25,0.013059187
posing,26,0.4290621
posing,27,0.79142034
posing,28,1.1168278
posing,29,1.4124112
posing,30,1.6893064
posing,31,1.9299955
posing,32,2.120361
posing,33,2.28342
posing,34,2.4551842
posing,35,2.5987992
posing,36,2.7533104
posing,37,2.8593874
posing,38,2.958371
posing,39,3.1102214
posing,40,3.2142837
posing,41,3.3293235
posing,42,3.4327583
posing,43,3.50496
posing,44,3.5508633
posing,45,3.6419613
posing,46,3.7127554
posing,47,3.8048782
posing,48,3.8626914
posing,49,3.8817105
act,frame,error
purchases,0,0.0
purchases,1,0.013837674
purchases,2,0.012747183
purchases,3,0.00897567
purchases,4,0.013104473
purchases,5,0.008485378
purchases,6,0.006345414
purchases,7,0.008889568
purchases,8,0.017436929
purchases,9,0.012431456
purchases,10,0.014020659
purchases,11,0.015917502
purchases,12,0.007072479
purchases,13,0.009626518
purchases,14,0.0072396025
purchases,15,0.013063148
purchases,16,0.00816596
purchases,17,0.009036964
purchases,18,0.010699472
purchases,19,0.008576436
purchases,20,0.01193507
purchases,21,0.010444525
purchases,22,0.0112842675
purchases,23,0.016881997
purchases,24,0.015354564
purchases,25,0.0099881105
purchases,26,0.44926724
purchases,27,0.8173393
purchases,28,1.120391
purchases,29,1.3826437
purchases,30,1.6123235
purchases,31,1.8112215
purchases,32,1.9524689
purchases,33,2.0679104
purchases,34,2.186425
purchases,35,2.273199
purchases,36,2.3574662
purchases,37,2.4131513
purchases,38,2.4587853
purchases,39,2.5429475
purchases,40,2.5825775
purchases,41,2.6186378
purchases,42,2.6556637
purchases,43,2.6647856
purchases,44,2.665009
purchases,45,2.691645
purchases,46,2.7131572
purchases,47,2.7481723
purchases,48,2.7727685
purchases,49,2.7703347
act,frame,error
sitting,0,0.0
sitting,1,0.011847951
sitting,2,0.012897137
sitting,3,0.006841242
sitting,4,0.014689404
sitting,5,0.009050609
sitting,6,0.00638619
sitting,7,0.008130364
sitting,8,0.017910652
sitting,9,0.012455094
sitting,10,0.014409856
sitting,11,0.017572036
sitting,12,0.0073779467
sitting,13,0.009162943
sitting,14,0.0067181825
sitting,15,0.012627682
sitting,16,0.0074454895
sitting,17,0.009205733
sitting,18,0.010654489
sitting,19,0.008850181
sitting,20,0.011234384
sitting,21,0.011156391
sitting,22,0.014621026
sitting,23,0.017106289
sitting,24,0.015702203
sitting,25,0.009231311
sitting,26,0.48077264
sitting,27,0.8831044
sitting,28,1.2216711
sitting,29,1.5194703
sitting,30,1.7791308
sitting,31,1.9990238
sitting,32,2.14589
sitting,33,2.259376
sitting,34,2.3619869
sitting,35,2.4322143
sitting,36,2.492366
sitting,37,2.52006
sitting,38,2.5430095
sitting,39,2.612511
sitting,40,2.6312556
sitting,41,2.65642
sitting,42,2.6761801
sitting,43,2.6886902
sitting,44,2.68289
sitting,45,2.7098665
sitting,46,2.7332997
sitting,47,2.7605486
sitting,48,2.7853458
sitting,49,2.7729363
act,frame,error
sittingdown,0,0.0
sittingdown,1,0.00948565
sittingdown,2,0.010080169
sittingdown,3,0.006453358
sittingdown,4,0.011727314
sittingdown,5,0.009261063
sittingdown,6,0.0066658943
sittingdown,7,0.007612202
sittingdown,8,0.014935998
sittingdown,9,0.009056485
sittingdown,10,0.011307634
sittingdown,11,0.013626047
sittingdown,12,0.008096857
sittingdown,13,0.007728814
sittingdown,14,0.0067222407
sittingdown,15,0.010199746
sittingdown,16,0.0071089067
sittingdown,17,0.00805959
sittingdown,18,0.010793142
sittingdown,19,0.008037723
sittingdown,20,0.009792916
sittingdown,21,0.010233327
sittingdown,22,0.012964833
sittingdown,23,0.015112824
sittingdown,24,0.013286301
sittingdown,25,0.007529173
sittingdown,26,0.42085224
sittingdown,27,0.7640081
sittingdown,28,1.0265559
sittingdown,29,1.2326404
sittingdown,30,1.3991944
sittingdown,31,1.5254455
sittingdown,32,1.5936991
sittingdown,33,1.6436739
sittingdown,34,1.6929622
sittingdown,35,1.7351664
sittingdown,36,1.7789105
sittingdown,37,1.8057243
sittingdown,38,1.8328418
sittingdown,39,1.8994234
sittingdown,40,1.9311522
sittingdown,41,1.9734955
sittingdown,42,2.006526
sittingdown,43,2.0355356
sittingdown,44,2.0518463
sittingdown,45,2.0957656
sittingdown,46,2.1318827
sittingdown,47,2.1698432
sittingdown,48,2.1989331
sittingdown,49,2.202679
act,frame,error
takingphoto,0,0.0
takingphoto,1,0.01241617
takingphoto,2,0.012780042
takingphoto,3,0.0077025183
takingphoto,4,0.01438147
takingphoto,5,0.009568374
takingphoto,6,0.005964303
takingphoto,7,0.0078671565
takingphoto,8,0.016295962
takingphoto,9,0.011536968
takingphoto,10,0.01360424
takingphoto,11,0.017390061
takingphoto,12,0.0065671047
takingphoto,13,0.009790138
takingphoto,14,0.0063469554
takingphoto,15,0.010627929
takingphoto,16,0.0076677618
takingphoto,17,0.0084368205
takingphoto,18,0.009702344
takingphoto,19,0.008959377
takingphoto,20,0.009336596
takingphoto,21,0.010063884
takingphoto,22,0.013441618
takingphoto,23,0.016469648
takingphoto,24,0.01398936
takingphoto,25,0.009929937
takingphoto,26,0.4379899
takingphoto,27,0.8089358
takingphoto,28,1.1191664
takingphoto,29,1.3907847
takingphoto,30,1.6280589
takingphoto,31,1.8322911
takingphoto,32,1.9703093
takingphoto,33,2.0761704
takingphoto,34,2.1840298
takingphoto,35,2.2644715
takingphoto,36,2.337609
takingphoto,37,2.379549
takingphoto,38,2.41988
takingphoto,39,2.499646
takingphoto,40,2.5380895
takingphoto,41,2.579495
takingphoto,42,2.614753
takingphoto,43,2.6410563
takingphoto,44,2.650446
takingphoto,45,2.6827772
takingphoto,46,2.710304
takingphoto,47,2.747141
takingphoto,48,2.7787857
takingphoto,49,2.766989
act,frame,error
waiting,0,0.0
waiting,1,0.009871564
waiting,2,0.011625912
waiting,3,0.009800681
waiting,4,0.011803485
waiting,5,0.008889472
waiting,6,0.006468203
waiting,7,0.008857473
waiting,8,0.014086208
waiting,9,0.013616988
waiting,10,0.011661391
waiting,11,0.011074984
waiting,12,0.008268352
waiting,13,0.009091878
waiting,14,0.010131674
waiting,15,0.011502504
waiting,16,0.007764289
waiting,17,0.010562169
waiting,18,0.012034609
waiting,19,0.012148166
waiting,20,0.012643123
waiting,21,0.013989997
waiting,22,0.0123209
waiting,23,0.016269801
waiting,24,0.0142281875
waiting,25,0.009717155
waiting,26,0.50983137
waiting,27,0.9181096
waiting,28,1.2423378
waiting,29,1.4926839
waiting,30,1.6789895
waiting,31,1.8357209
waiting,32,1.9283595
waiting,33,1.9774952
waiting,34,2.011659
waiting,35,2.0173733
waiting,36,2.0008695
waiting,37,1.9848783
waiting,38,1.9496679
waiting,39,1.9726907
waiting,40,1.9394336
waiting,41,1.9159014
waiting,42,1.8890826
waiting,43,1.8648533
waiting,44,1.8353885
waiting,45,1.8343515
waiting,46,1.8303397
waiting,47,1.8299475
waiting,48,1.8399973
waiting,49,1.8319348
act,frame,error
walkingdog,0,0.0
walkingdog,1,0.013734721
walkingdog,2,0.012871879
walkingdog,3,0.012104885
walkingdog,4,0.01376494
walkingdog,5,0.010035228
walkingdog,6,0.0059368466
walkingdog,7,0.009563084
walkingdog,8,0.017509576
walkingdog,9,0.014072555
walkingdog,10,0.013224081
walkingdog,11,0.016671838
walkingdog,12,0.008032795
walkingdog,13,0.010192136
walkingdog,14,0.010944415
walkingdog,15,0.011875113
walkingdog,16,0.009804129
walkingdog,17,0.010142878
walkingdog,18,0.013345405
walkingdog,19,0.011661026
walkingdog,20,0.012086683
walkingdog,21,0.011799276
walkingdog,22,0.0132074
walkingdog,23,0.017596943
walkingdog,24,0.015910951
walkingdog,25,0.010497551
walkingdog,26,0.51441556
walkingdog,27,0.93037957
walkingdog,28,1.2634628
walkingdog,29,1.5373753
walkingdog,30,1.7616539
walkingdog,31,1.955665
walkingdog,32,2.0882952
walkingdog,33,2.1895094
walkingdog,34,2.2796407
walkingdog,35,2.3333085
walkingdog,36,2.3641927
walkingdog,37,2.381438
walkingdog,38,2.3835232
walkingdog,39,2.4356415
walkingdog,40,2.4369109
walkingdog,41,2.4386008
walkingdog,42,2.4523315
walkingdog,43,2.443696
walkingdog,44,2.4341717
walkingdog,45,2.4398599
walkingdog,46,2.4425554
walkingdog,47,2.4454925
walkingdog,48,2.4527047
walkingdog,49,2.4311683
act,frame,error
walkingtogether,0,0.0
walkingtogether,1,0.008853881
walkingtogether,2,0.010558106
walkingtogether,3,0.012174768
walkingtogether,4,0.009202746
walkingtogether,5,0.01016824
walkingtogether,6,0.00793418
walkingtogether,7,0.009268351
walkingtogether,8,0.013915724
walkingtogether,9,0.017132608
walkingtogether,10,0.010217693
walkingtogether,11,0.008671099
walkingtogether,12,0.011190138
walkingtogether,13,0.010377205
walkingtogether,14,0.012976464
walkingtogether,15,0.012707844
walkingtogether,16,0.008619606
walkingtogether,17,0.007099987
walkingtogether,18,0.016091136
walkingtogether,19,0.0108334245
walkingtogether,20,0.010793109
walkingtogether,21,0.011359647
walkingtogether,22,0.014383773
walkingtogether,23,0.0144148655
walkingtogether,24,0.015261022
walkingtogether,25,0.011732789
walkingtogether,26,0.4829688
walkingtogether,27,0.8470774
walkingtogether,28,1.094767
walkingtogether,29,1.2409875
walkingtogether,30,1.3181634
walkingtogether,31,1.3665333
walkingtogether,32,1.3900458
walkingtogether,33,1.4306664
walkingtogether,34,1.5084673
walkingtogether,35,1.5963126
walkingtogether,36,1.6593069
walkingtogether,37,1.7289172
walkingtogether,38,1.748718
walkingtogether,39,1.7810686
walkingtogether,40,1.747723
walkingtogether,41,1.7098409
walkingtogether,42,1.6679173
walkingtogether,43,1.6194791
walkingtogether,44,1.5767077
walkingtogether,45,1.5718938
walkingtogether,46,1.5594454
walkingtogether,47,1.5523292
walkingtogether,48,1.5643901
walkingtogether,49,1.5523177
