act,frame,error
walking,0,0.0
walking,1,0.0053531434
walking,2,0.008571061
walking,3,0.0049526086
walking,4,0.0035760081
walking,5,0.00509857
walking,6,0.003746575
walking,7,0.0076007694
walking,8,0.0043836646
walking,9,0.0041935504
act,frame,error
eating,0,0.0
eating,1,0.004410977
eating,2,0.0071267127
eating,3,0.004269663
eating,4,0.0034465948
eating,5,0.0035036653
eating,6,0.0032487058
eating,7,0.0060044164
eating,8,0.0038746737
eating,9,0.004132584
act,frame,error
smoking,0,0.0
smoking,1,0.005312836
smoking,2,0.0058857827
smoking,3,0.003681659
smoking,4,0.0029993765
smoking,5,0.003361038
smoking,6,0.0028119024
smoking,7,0.0057225153
smoking,8,0.005403397
smoking,9,0.0045376937
act,frame,error
discussion,0,0.0
discussion,1,0.005106184
discussion,2,0.0072916755
discussion,3,0.004031654
discussion,4,0.003564775
discussion,5,0.0047668433
discussion,6,0.00315635
discussion,7,0.0064987154
discussion,8,0.0046778205
discussion,9,0.004455251
act,frame,error
directions,0,0.0
directions,1,0.005138845
directions,2,0.007071472
directions,3,0.004112901
directions,4,0.003280566
directions,5,0.0048173666
directions,6,0.0032348083
directions,7,0.007249982
directions,8,0.0043570665
directions,9,0.003831226
act,frame,error
greeting,0,0.0
greeting,1,0.0061217137
greeting,2,0.008086806
greeting,3,0.0045418637
greeting,4,0.0037744662
greeting,5,0.005196705
greeting,6,0.0033091793
greeting,7,0.007647337
greeting,8,0.0059136087
greeting,9,0.0040161824
act,frame,error
phoning,0,0.0
phoning,1,0.0055734054
phoning,2,0.008316834
phoning,3,0.004203335
phoning,4,0.0033779508
phoning,5,0.0042539383
phoning,6,0.0034063957
phoning,7,0.0069125025
phoning,8,0.0048215427
phoning,9,0.004289207
act,frame,error
posing,0,0.0
posing,1,0.004932272
posing,2,0.0075926515
posing,3,0.0039681774
posing,4,0.0032401723
posing,5,0.0050025973
posing,6,0.0033922961
posing,7,0.006851496
posing,8,0.00481102
posing,9,0.0040087947
act,frame,error
purchases,0,0.0
purchases,1,0.005672233
purchases,2,0.00833512
purchases,3,0.004289616
purchases,4,0.0034194218
purchases,5,0.0049705035
purchases,6,0.0032391
purchases,7,0.007951196
purchases,8,0.0045730206
purchases,9,0.004105146
act,frame,error
sitting,0,0.0
sitting,1,0.006006345
sitting,2,0.008335442
sitting,3,0.003576115
sitting,4,0.003603012
sitting,5,0.0047313687
sitting,6,0.0029831703
sitting,7,0.008180692
sitting,8,0.0054231244
sitting,9,0.004405811
act,frame,error
sittingdown,0,0.0
sittingdown,1,0.0051606214
sittingdown,2,0.0065581976
sittingdown,3,0.0038767224
sittingdown,4,0.003557289
sittingdown,5,0.003995816
sittingdown,6,0.0030590598
sittingdown,7,0.0065668314
sittingdown,8,0.0051037725
sittingdown,9,0.004281789
act,frame,error
takingphoto,0,0.0
takingphoto,1,0.005860865
takingphoto,2,0.0081677325
takingphoto,3,0.003852817
takingphoto,4,0.0035706635
takingphoto,5,0.005128327
takingphoto,6,0.0031557544
takingphoto,7,0.007526157
takingphoto,8,0.0055726413
takingphoto,9,0.003956989
act,frame,error
waiting,0,0.0
waiting,1,0.00495052
waiting,2,0.007913236
waiting,3,0.004207755
waiting,4,0.0033972485
waiting,5,0.0050127883
waiting,6,0.0033827273
waiting,7,0.0069929487
waiting,8,0.004882342
waiting,9,0.003796005
act,frame,error
walkingdog,0,0.0
walkingdog,1,0.0054683983
walkingdog,2,0.006751239
walkingdog,3,0.004268619
walkingdog,4,0.0036778802
walkingdog,5,0.0044853976
walkingdog,6,0.0032972437
walkingdog,7,0.0057966206
walkingdog,8,0.0050355135
walkingdog,9,0.004298914
act,frame,error
walkingtogether,0,0.0
walkingtogether,1,0.0052316585
walkingtogether,2,0.007837661
walkingtogether,3,0.004656611
walkingtogether,4,0.0030920282
walkingtogether,5,0.0052366834
walkingtogether,6,0.0032863761
walkingtogether,7,0.008181901
walkingtogether,8,0.0041273176
walkingtogether,9,0.0040550176
