act,frame,error
walking,0,0.0
walking,1,0.024753358
walking,2,0.040856943
walking,3,0.038656976
walking,4,0.04932379
walking,5,0.031756524
walking,6,0.04465944
walking,7,0.045791965
walking,8,0.032927487
walking,9,0.03880128
walking,10,0.026521677
walking,11,0.021484585
walking,12,0.016220242
walking,13,0.024690062
walking,14,0.028314248
walking,15,0.019318357
walking,16,0.040599167
walking,17,0.025839567
walking,18,0.036364388
walking,19,0.039029166
walking,20,0.032690275
walking,21,0.033795938
walking,22,0.04608495
walking,23,0.025281455
walking,24,0.02861586
walking,25,0.047030877
walking,26,0.37782812
walking,27,0.6779411
walking,28,0.9939501
walking,29,1.2197816
walking,30,1.370638
walking,31,1.42296
walking,32,1.5242475
walking,33,1.653435
walking,34,1.7849795
walking,35,1.8678589
walking,36,1.9249012
walking,37,2.0256176
walking,38,2.1043754
walking,39,2.0703256
walking,40,2.0785937
walking,41,2.122216
walking,42,2.21132
walking,43,2.2130237
walking,44,2.1957998
walking,45,2.173588
walking,46,2.18355
walking,47,2.1620398
walking,48,2.119127
walking,49,2.1365106
act,frame,error
eating,0,0.0
eating,1,0.018614298
eating,2,0.030584957
eating,3,0.029002775
eating,4,0.04060052
eating,5,0.028396605
eating,6,0.03934445
eating,7,0.042709444
eating,8,0.023212409
eating,9,0.038004115
eating,10,0.025603797
eating,11,0.01604961
eating,12,0.01564161
eating,13,0.02426654
eating,14,0.023662675
eating,15,0.01701315
eating,16,0.032670796
eating,17,0.019625299
eating,18,0.029798752
eating,19,0.039606158
eating,20,0.03307843
eating,21,0.029673766
eating,22,0.040360007
eating,23,0.021996304
eating,24,0.023469228
eating,25,0.037850644
eating,26,0.35531697
eating,27,0.6126447
eating,28,0.8190414
eating,29,1.0840364
eating,30,1.2595524
eating,31,1.3817682
eating,32,1.5331922
eating,33,1.7194765
eating,34,1.9520452
eating,35,2.2254026
eating,36,2.4595146
eating,37,2.5544727
eating,38,2.584434
eating,39,2.6302218
eating,40,2.7087395
eating,41,2.7419345
eating,42,2.7259948
eating,43,2.73272
eating,44,2.7887616
eating,45,2.8768766
eating,46,2.9927826
eating,47,3.1287649
eating,48,3.2307196
eating,49,3.2851634
act,frame,error
smoking,0,0.0
smoking,1,0.017427523
smoking,2,0.0137223555
smoking,3,0.020239005
smoking,4,0.020683857
smoking,5,0.015548171
smoking,6,0.022212023
smoking,7,0.02707504
smoking,8,0.017015189
smoking,9,0.03239207
smoking,10,0.027220488
smoking,11,0.015219085
smoking,12,0.017930668
smoking,13,0.02505968
smoking,14,0.016298698
smoking,15,0.014110996
smoking,16,0.024539122
smoking,17,0.015554053
smoking,18,0.023630945
smoking,19,0.022833487
smoking,20,0.02165877
smoking,21,0.017196817
smoking,22,0.020220388
smoking,23,0.01983791
smoking,24,0.028980197
smoking,25,0.02146191
smoking,26,0.48509657
smoking,27,0.7474792
smoking,28,1.0684469
smoking,29,1.4892565
smoking,30,1.7672316
smoking,31,1.9768122
smoking,32,2.1570418
smoking,33,2.443458
smoking,34,2.5502474
smoking,35,2.6716325
smoking,36,2.6815052
smoking,37,2.7440605
smoking,38,2.7931895
smoking,39,2.8153033
smoking,40,2.7515032
smoking,41,2.7762961
smoking,42,2.832893
smoking,43,2.9214864
smoking,44,3.0431325
smoking,45,3.228184
smoking,46,3.4545126
smoking,47,3.7073925
smoking,48,3.9488034
smoking,49,4.10876
