act,frame,error
walking,0,0.0
walking,1,0.004276834
walking,2,0.0088722445
walking,3,0.004398069
walking,4,0.0038670064
walking,5,0.0052627497
walking,6,0.003589303
walking,7,0.00844817
walking,8,0.004596648
walking,9,0.0044260263
act,frame,error
eating,0,0.0
eating,1,0.0037046855
eating,2,0.0066264644
eating,3,0.00383706
eating,4,0.0033362757
eating,5,0.0033216758
eating,6,0.0029255643
eating,7,0.0055440892
eating,8,0.003987497
eating,9,0.004380106
act,frame,error
smoking,0,0.0
smoking,1,0.0036711872
smoking,2,0.004836802
smoking,3,0.0031480794
smoking,4,0.0029422112
smoking,5,0.0026951258
smoking,6,0.0025638852
smoking,7,0.003983818
smoking,8,0.004390447
smoking,9,0.0039030649
act,frame,error
discussion,0,0.0
discussion,1,0.0041982345
discussion,2,0.006201669
discussion,3,0.0036575359
discussion,4,0.0034967496
discussion,5,0.004389229
discussion,6,0.0031906979
discussion,7,0.0056730015
discussion,8,0.0047122105
discussion,9,0.004282331
act,frame,error
directions,0,0.0
directions,1,0.004366998
directions,2,0.0062677255
directions,3,0.0040283883
directions,4,0.0031088104
directions,5,0.0045599155
directions,6,0.0031754388
directions,7,0.006124681
directions,8,0.003999971
directions,9,0.0033635898
act,frame,error
greeting,0,0.0
greeting,1,0.004584637
greeting,2,0.008407059
greeting,3,0.0039974134
greeting,4,0.0038862543
greeting,5,0.0049455864
greeting,6,0.0032255126
greeting,7,0.0071388152
greeting,8,0.005320484
greeting,9,0.004117635
act,frame,error
phoning,0,0.0
phoning,1,0.004107594
phoning,2,0.007089558
phoning,3,0.0036568816
phoning,4,0.0034083228
phoning,5,0.004027748
phoning,6,0.0030098937
phoning,7,0.0062199277
phoning,8,0.0045955926
phoning,9,0.004235024
act,frame,error
posing,0,0.0
posing,1,0.0037912838
posing,2,0.005055673
posing,3,0.0039561247
posing,4,0.0032497856
posing,5,0.0038833788
posing,6,0.0032803412
posing,7,0.0050390945
posing,8,0.0044353874
posing,9,0.0037812735
act,frame,error
purchases,0,0.0
purchases,1,0.004468464
purchases,2,0.007011895
purchases,3,0.0038730106
purchases,4,0.0033903776
purchases,5,0.0045820437
purchases,6,0.0031454351
purchases,7,0.006784422
purchases,8,0.0043466077
purchases,9,0.0039584637
act,frame,error
sitting,0,0.0
sitting,1,0.004746844
sitting,2,0.0066800495
sitting,3,0.0032364354
sitting,4,0.0036180646
sitting,5,0.0040219086
sitting,6,0.0027254845
sitting,7,0.0062395055
sitting,8,0.0051146867
sitting,9,0.004135301
act,frame,error
sittingdown,0,0.0
sittingdown,1,0.004433823
sittingdown,2,0.005975303
sittingdown,3,0.0035159248
sittingdown,4,0.003467345
sittingdown,5,0.003691466
sittingdown,6,0.0030326578
sittingdown,7,0.005582262
sittingdown,8,0.004950531
sittingdown,9,0.0041682865
act,frame,error
takingphoto,0,0.0
takingphoto,1,0.0043702493
takingphoto,2,0.0059868707
takingphoto,3,0.003254761
takingphoto,4,0.003423061
takingphoto,5,0.0042316653
takingphoto,6,0.002852558
takingphoto,7,0.005563073
takingphoto,8,0.0047774366
takingphoto,9,0.0036138701
act,frame,error
waiting,0,0.0
waiting,1,0.003982361
waiting,2,0.006524792
waiting,3,0.0038910625
waiting,4,0.003231083
waiting,5,0.004387867
waiting,6,0.0032702694
waiting,7,0.005547533
waiting,8,0.0048074224
waiting,9,0.003374241
act,frame,error
walkingdog,0,0.0
walkingdog,1,0.0045135766
walkingdog,2,0.007206368
walkingdog,3,0.00402701
walkingdog,4,0.0036223049
walkingdog,5,0.0047322
walkingdog,6,0.003322658
walkingdog,7,0.006292084
walkingdog,8,0.0049009044
walkingdog,9,0.00441764
act,frame,error
walkingtogether,0,0.0
walkingtogether,1,0.0036751404
walkingtogether,2,0.0068364935
walkingtogether,3,0.0035140824
walkingtogether,4,0.003553999
walkingtogether,5,0.0048431107
walkingtogether,6,0.0034748171
walkingtogether,7,0.006712718
walkingtogether,8,0.0040089646
walkingtogether,9,0.0037673656
