act,frame,error
walking,0,0.0
walking,1,0.019030966
walking,2,0.013688568
walking,3,0.015829584
walking,4,0.008697179
walking,5,0.01776443
walking,6,0.011326338
walking,7,0.011727391
walking,8,0.016348997
walking,9,0.027238192
walking,10,0.017813567
walking,11,0.018454649
walking,12,0.01357456
walking,13,0.015291317
walking,14,0.025809307
walking,15,0.02170726
walking,16,0.009912472
walking,17,0.012132653
walking,18,0.028094023
walking,19,0.015678726
walking,20,0.015261784
walking,21,0.014708448
walking,22,0.024706757
walking,23,0.015856821
walking,24,0.02299852
act,frame,error
eating,0,0.0
eating,1,0.012371534
eating,2,0.011288218
eating,3,0.013210539
eating,4,0.010320363
eating,5,0.016455667
eating,6,0.009670934
eating,7,0.0094341
eating,8,0.013006499
eating,9,0.019229257
eating,10,0.01304552
eating,11,0.013601636
eating,12,0.010715731
eating,13,0.01118898
eating,14,0.019221988
eating,15,0.016777651
eating,16,0.008857631
eating,17,0.011568911
eating,18,0.019468341
eating,19,0.016802583
eating,20,0.014244282
eating,21,0.0100130085
eating,22,0.017341478
eating,23,0.012543545
eating,24,0.016883682
act,frame,error
smoking,0,0.0
smoking,1,0.007935977
smoking,2,0.0077112676
smoking,3,0.0060267197
smoking,4,0.007669351
smoking,5,0.008437106
smoking,6,0.0067806295
smoking,7,0.005860503
smoking,8,0.008850064
smoking,9,0.01084742
smoking,10,0.008020674
smoking,11,0.009889934
smoking,12,0.007874529
smoking,13,0.007896792
smoking,14,0.008750354
smoking,15,0.008992437
smoking,16,0.00663262
smoking,17,0.007364251
smoking,18,0.011202661
smoking,19,0.007867281
smoking,20,0.00777521
smoking,21,0.0077234907
smoking,22,0.01200457
smoking,23,0.009395986
smoking,24,0.011166255
act,frame,error
discussion,0,0.0
discussion,1,0.014572569
discussion,2,0.008523641
discussion,3,0.006872607
discussion,4,0.008627267
discussion,5,0.011023212
discussion,6,0.0074578896
discussion,7,0.0072569964
discussion,8,0.011464073
discussion,9,0.010395167
discussion,10,0.011391163
discussion,11,0.0125327725
discussion,12,0.008073248
discussion,13,0.009345062
discussion,14,0.0072099264
discussion,15,0.01156264
discussion,16,0.007922188
discussion,17,0.007226212
discussion,18,0.010524418
discussion,19,0.0067624315
discussion,20,0.010308522
discussion,21,0.009006208
discussion,22,0.00921826
discussion,23,0.010843418
discussion,24,0.012764845
act,frame,error
directions,0,0.0
directions,1,0.012309337
directions,2,0.0069201146
directions,3,0.009159636
directions,4,0.008254941
directions,5,0.009448045
directions,6,0.0072168866
directions,7,0.006777564
directions,8,0.00905441
directions,9,0.010268118
directions,10,0.008879474
directions,11,0.009337983
directions,12,0.0072211716
directions,13,0.0094722025
directions,14,0.0063832575
directions,15,0.0098856175
directions,16,0.0068701217
directions,17,0.007801227
directions,18,0.009184775
directions,19,0.007144668
directions,20,0.008872022
directions,21,0.010623972
directions,22,0.0075129154
directions,23,0.011155789
directions,24,0.011275841
act,frame,error
greeting,0,0.0
greeting,1,0.013841948
greeting,2,0.0109188445
greeting,3,0.009400729
greeting,4,0.009114891
greeting,5,0.009837267
greeting,6,0.0067439056
greeting,7,0.0077540833
greeting,8,0.01127899
greeting,9,0.014553242
greeting,10,0.01318093
greeting,11,0.013649618
greeting,12,0.008936538
greeting,13,0.008533247
greeting,14,0.011955056
greeting,15,0.011963986
greeting,16,0.008143883
greeting,17,0.008118286
greeting,18,0.011453169
greeting,19,0.008423925
greeting,20,0.011527582
greeting,21,0.0102739
greeting,22,0.010620458
greeting,23,0.01213218
greeting,24,0.015112972
act,frame,error
phoning,0,0.0
phoning,1,0.014038056
phoning,2,0.010720817
phoning,3,0.0103908805
phoning,4,0.010592382
phoning,5,0.0139842
phoning,6,0.009327397
phoning,7,0.009315849
phoning,8,0.012671132
phoning,9,0.019924844
phoning,10,0.0138893565
phoning,11,0.013774661
phoning,12,0.009684903
phoning,13,0.011941272
phoning,14,0.016507901
phoning,15,0.016192863
phoning,16,0.008272689
phoning,17,0.011170445
phoning,18,0.01957771
phoning,19,0.014994874
phoning,20,0.013831323
phoning,21,0.011531099
phoning,22,0.018411385
phoning,23,0.012622667
phoning,24,0.018765485
act,frame,error
posing,0,0.0
posing,1,0.013484066
posing,2,0.007667909
posing,3,0.0067695533
posing,4,0.008963148
posing,5,0.0125086615
posing,6,0.009215246
posing,7,0.0065454394
posing,8,0.010750515
posing,9,0.008915689
posing,10,0.009295167
posing,11,0.013346962
posing,12,0.00753488
posing,13,0.008364453
posing,14,0.0065916902
posing,15,0.013202141
posing,16,0.0074219075
posing,17,0.008285369
posing,18,0.0112662595
posing,19,0.006816391
posing,20,0.009504352
posing,21,0.007437469
posing,22,0.009890539
posing,23,0.0119198775
posing,24,0.013486443
act,frame,error
purchases,0,0.0
purchases,1,0.014978641
purchases,2,0.011385254
purchases,3,0.0074673737
purchases,4,0.011300344
purchases,5,0.010287039
purchases,6,0.007153648
purchases,7,0.0088063
purchases,8,0.015456545
purchases,9,0.011541969
purchases,10,0.013354094
purchases,11,0.014917989
purchases,12,0.007138461
purchases,13,0.0091447
purchases,14,0.005952738
purchases,15,0.014194129
purchases,16,0.008161365
purchases,17,0.007925874
purchases,18,0.01069935
purchases,19,0.008159658
purchases,20,0.011717471
purchases,21,0.008680627
purchases,22,0.010794296
purchases,23,0.014131771
purchases,24,0.014904919
act,frame,error
sitting,0,0.0
sitting,1,0.011221589
sitting,2,0.011005239
sitting,3,0.0064960564
sitting,4,0.013160409
sitting,5,0.009577678
sitting,6,0.006624481
sitting,7,0.0069509316
sitting,8,0.015637778
sitting,9,0.011333987
sitting,10,0.012505924
sitting,11,0.015831035
sitting,12,0.00735019
sitting,13,0.008788288
sitting,14,0.0062805377
sitting,15,0.012362292
sitting,16,0.0070102126
sitting,17,0.007633222
sitting,18,0.010677799
sitting,19,0.0077456078
sitting,20,0.010328127
sitting,21,0.0094890995
sitting,22,0.012622435
sitting,23,0.014142224
sitting,24,0.014774821
act,frame,error
sittingdown,0,0.0
sittingdown,1,0.009615741
sittingdown,2,0.009266288
sittingdown,3,0.0062489933
sittingdown,4,0.010250667
sittingdown,5,0.009607346
sittingdown,6,0.007337299
sittingdown,7,0.0068505052
sittingdown,8,0.011942974
sittingdown,9,0.008334397
sittingdown,10,0.009570524
sittingdown,11,0.01277565
sittingdown,12,0.0072508664
sittingdown,13,0.007949691
sittingdown,14,0.006002209
sittingdown,15,0.011079254
sittingdown,16,0.0066053374
sittingdown,17,0.0070402334
sittingdown,18,0.010933125
sittingdown,19,0.006985042
sittingdown,20,0.0088448655
sittingdown,21,0.009351936
sittingdown,22,0.010307162
sittingdown,23,0.011530287
sittingdown,24,0.012790021
act,frame,error
takingphoto,0,0.0
takingphoto,1,0.01100862
takingphoto,2,0.010524543
takingphoto,3,0.006761666
takingphoto,4,0.011513667
takingphoto,5,0.009199001
takingphoto,6,0.006201835
takingphoto,7,0.0069820057
takingphoto,8,0.013452175
takingphoto,9,0.010311704
takingphoto,10,0.011240885
takingphoto,11,0.014712527
takingphoto,12,0.0071610413
takingphoto,13,0.008317501
takingphoto,14,0.006363079
takingphoto,15,0.010180844
takingphoto,16,0.0066018826
takingphoto,17,0.0070063053
takingphoto,18,0.009481796
takingphoto,19,0.007888255
takingphoto,20,0.008651836
takingphoto,21,0.007855812
takingphoto,22,0.010950103
takingphoto,23,0.011813241
takingphoto,24,0.012384073
act,frame,error
waiting,0,0.0
waiting,1,0.012890566
waiting,2,0.009663731
waiting,3,0.00877686
waiting,4,0.0080489945
waiting,5,0.010458607
waiting,6,0.008043876
waiting,7,0.007422338
waiting,8,0.010953634
waiting,9,0.015542461
waiting,10,0.011834934
waiting,11,0.013548656
waiting,12,0.0098217605
waiting,13,0.009991454
waiting,14,0.012936817
waiting,15,0.013163064
waiting,16,0.008312162
waiting,17,0.00853868
waiting,18,0.013978284
waiting,19,0.008894173
waiting,20,0.010918771
waiting,21,0.01154557
waiting,22,0.013621207
waiting,23,0.012879156
waiting,24,0.015633894
act,frame,error
walkingdog,0,0.0
walkingdog,1,0.013993926
walkingdog,2,0.010624879
walkingdog,3,0.012735008
walkingdog,4,0.009543778
walkingdog,5,0.012176166
walkingdog,6,0.0071351617
walkingdog,7,0.008809624
walkingdog,8,0.014649113
walkingdog,9,0.01792782
walkingdog,10,0.011413733
walkingdog,11,0.013472461
walkingdog,12,0.010436035
walkingdog,13,0.0116713485
walkingdog,14,0.017015582
walkingdog,15,0.012343853
walkingdog,16,0.0085779345
walkingdog,17,0.00872281
walkingdog,18,0.016418548
walkingdog,19,0.012320001
walkingdog,20,0.012286562
walkingdog,21,0.012095214
walkingdog,22,0.015032346
walkingdog,23,0.014278311
walkingdog,24,0.016392661
act,frame,error
walkingtogether,0,0.0
walkingtogether,1,0.013685381
walkingtogether,2,0.011715846
walkingtogether,3,0.012311396
walkingtogether,4,0.008363711
walkingtogether,5,0.011964134
walkingtogether,6,0.0085846335
walkingtogether,7,0.0097330315
walkingtogether,8,0.01380474
walkingtogether,9,0.015817206
walkingtogether,10,0.01552645
walkingtogether,11,0.014995671
walkingtogether,12,0.010898983
walkingtogether,13,0.010318283
walkingtogether,14,0.013989506
walkingtogether,15,0.016961258
walkingtogether,16,0.00929496
walkingtogether,17,0.009647976
walkingtogether,18,0.019752579
walkingtogether,19,0.011857109
walkingtogether,20,0.01298331
walkingtogether,21,0.011656527
walkingtogether,22,0.013815467
walkingtogether,23,0.01477374
walkingtogether,24,0.015407612
